risk_bonus,threshold,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95,split
0.1,0.25,0.9914285714285714,0.951048951048951,0.9645390070921985,0.9577464788732394,0.9764885017577644,0.9914553457469778,0.9794895194317228,0.005559968228752979,2504.0,14.0,10.0,272.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.3,0.9910714285714286,0.9540636042402827,0.9574468085106383,0.9557522123893806,0.9753934845462295,0.9910784433114846,0.9761419904348267,0.005162827640984908,2505.0,13.0,12.0,270.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.35,0.9928571428571429,0.9712230215827338,0.9574468085106383,0.9642857142857143,0.9801587301587302,0.9928344671201814,0.9771348419042469,0.003177124702144559,2510.0,8.0,12.0,270.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.4,0.9914285714285714,0.9708029197080292,0.9432624113475178,0.9568345323741008,0.976038201952316,0.991373703801205,0.9700426433226865,0.003177124702144559,2510.0,8.0,16.0,266.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.45,0.9917857142857143,0.977859778597786,0.9397163120567376,0.9584086799276673,0.9769257586283868,0.9917129686193901,0.9686667342650646,0.0023828435266084196,2512.0,6.0,17.0,265.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.5,0.9917857142857143,0.9814126394052045,0.9361702127659575,0.9582577132486388,0.9768511778760525,0.9916993874856583,0.9670922549135585,0.0019857029388403494,2513.0,5.0,18.0,264.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.55,0.9907142857142858,0.981203007518797,0.925531914893617,0.9525547445255474,0.9737041339413168,0.9905934320604813,0.9617731059773883,0.0019857029388403494,2513.0,5.0,21.0,261.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.6,0.9892857142857143,0.9809160305343512,0.9113475177304965,0.9448529411764706,0.9694596984363366,0.9891099517338582,0.954680907395828,0.0019857029388403494,2513.0,5.0,25.0,257.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.65,0.9878571428571429,0.9806201550387597,0.8971631205673759,0.937037037037037,0.9651588347240521,0.9876160988769684,0.9475887088142678,0.0019857029388403494,2513.0,5.0,29.0,253.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
0.1,0.7,0.9875,0.984313725490196,0.8900709219858156,0.9348230912476723,0.9639550968780333,0.9872190842314217,0.9442411798173717,0.0015885623510722795,2514.0,4.0,31.0,251.0,0.9954371081405371,0.9862256399134149,0.9822695035460993,0.9645390070921985,validation
