protocol_id,dataset,model_version,training_scope,precision,recall,threshold
A,main_holdout,v8_semantic_main,main_only,0.1274799493457155,1.0,0.0029935190190614777
A,main_holdout,v8_semantic_main,main_only,0.12774957698815567,1.0,0.003013620973062612
A,main_holdout,v8_semantic_main,main_only,0.12802034760491734,1.0,0.003042587690324005
A,main_holdout,v8_semantic_main,main_only,0.12829226847918437,1.0,0.0030714531465139442
A,main_holdout,v8_semantic_main,main_only,0.12856534695615154,1.0,0.0030956342814724125
A,main_holdout,v8_semantic_main,main_only,0.128839590443686,1.0,0.0031344769899982225
A,main_holdout,v8_semantic_main,main_only,0.129115006412997,1.0,0.0031963942395302623
A,main_holdout,v8_semantic_main,main_only,0.1293916023993145,1.0,0.0032271665605326082
A,main_holdout,v8_semantic_main,main_only,0.12966938600257621,1.0,0.0032567415647788726
A,main_holdout,v8_semantic_main,main_only,0.12994836488812392,1.0,0.0032909858382392018
A,main_holdout,v8_semantic_main,main_only,0.13022854678740836,1.0,0.0033478128035931923
A,main_holdout,v8_semantic_main,main_only,0.13050993949870354,1.0,0.003370174032437732
A,main_holdout,v8_semantic_main,main_only,0.13079255088783023,1.0,0.003404478264293477
A,main_holdout,v8_semantic_main,main_only,0.1310763888888889,1.0,0.003431659986872493
A,main_holdout,v8_semantic_main,main_only,0.13136146150500216,1.0,0.0034650774903594627
A,main_holdout,v8_semantic_main,main_only,0.13164777680906714,1.0,0.003492728943899247
A,main_holdout,v8_semantic_main,main_only,0.13193534294451725,1.0,0.0035185656751358443
A,main_holdout,v8_semantic_main,main_only,0.13222416812609458,1.0,0.003551468708293486
A,main_holdout,v8_semantic_main,main_only,0.13251426064063185,1.0,0.0035955416654961563
A,main_holdout,v8_semantic_main,main_only,0.13280562884784522,1.0,0.00363020133888063
A,main_holdout,v8_semantic_main,main_only,0.13309828118113706,1.0,0.003659687618391629
A,main_holdout,v8_semantic_main,main_only,0.1333922261484099,1.0,0.0037029370105692867
A,main_holdout,v8_semantic_main,main_only,0.13368747233289066,1.0,0.0037223773183910273
A,main_holdout,v8_semantic_main,main_only,0.13398402839396628,1.0,0.003739898299264959
A,main_holdout,v8_semantic_main,main_only,0.13428190306803023,1.0,0.0037621871117171795
A,main_holdout,v8_semantic_main,main_only,0.13458110516934046,1.0,0.003793309934392176
A,main_holdout,v8_semantic_main,main_only,0.13488164359088878,1.0,0.0038338881924425043
A,main_holdout,v8_semantic_main,main_only,0.135183527305282,1.0,0.003890673436680862
A,main_holdout,v8_semantic_main,main_only,0.1354867653656348,1.0,0.003911152691013448
A,main_holdout,v8_semantic_main,main_only,0.1357913669064748,1.0,0.003967936624721197
A,main_holdout,v8_semantic_main,main_only,0.13609734114465977,1.0,0.003998948591858115
A,main_holdout,v8_semantic_main,main_only,0.13640469738030714,1.0,0.004032674524292834
A,main_holdout,v8_semantic_main,main_only,0.13671344499773652,1.0,0.00407524148407943
A,main_holdout,v8_semantic_main,main_only,0.13702359346642468,1.0,0.004110572342846303
A,main_holdout,v8_semantic_main,main_only,0.13733515234197363,1.0,0.004146971026795102
A,main_holdout,v8_semantic_main,main_only,0.13764813126709208,1.0,0.004192624283503074
A,main_holdout,v8_semantic_main,main_only,0.13796253997259023,1.0,0.0042363162674713
A,main_holdout,v8_semantic_main,main_only,0.1382783882783883,1.0,0.0042880666848126876
A,main_holdout,v8_semantic_main,main_only,0.1385956860945388,1.0,0.004328822831995886
A,main_holdout,v8_semantic_main,main_only,0.1389144434222631,1.0,0.004354686223446037
A,main_holdout,v8_semantic_main,main_only,0.1392346703550023,1.0,0.0043949975591319745
A,main_holdout,v8_semantic_main,main_only,0.13955637707948243,1.0,0.004441780402274592
A,main_holdout,v8_semantic_main,main_only,0.1398795738767948,1.0,0.004473147212972241
A,main_holdout,v8_semantic_main,main_only,0.14020427112349118,1.0,0.004509186208380872
A,main_holdout,v8_semantic_main,main_only,0.14053047929269427,1.0,0.004545924164311854
A,main_holdout,v8_semantic_main,main_only,0.14085820895522388,1.0,0.004572917332705818
A,main_holdout,v8_semantic_main,main_only,0.14118747078073865,1.0,0.004626556592703922
A,main_holdout,v8_semantic_main,main_only,0.1415182755388941,1.0,0.004648039169415378
A,main_holdout,v8_semantic_main,main_only,0.14185063410051668,1.0,0.004690012938522985
A,main_holdout,v8_semantic_main,main_only,0.14218455743879474,1.0,0.0047532762234203055
A,main_holdout,v8_semantic_main,main_only,0.14252005663048609,1.0,0.0047938229377423175
A,main_holdout,v8_semantic_main,main_only,0.14285714285714285,1.0,0.004829369739089661
A,main_holdout,v8_semantic_main,main_only,0.14319582740635373,1.0,0.004871949506643759
A,main_holdout,v8_semantic_main,main_only,0.1435361216730038,1.0,0.004913339609535367
A,main_holdout,v8_semantic_main,main_only,0.1439123183226114,1.0,0.004975013521938782
A,main_holdout,v8_semantic_main,main_only,0.14425603057081443,1.0,0.0050135179297439
A,main_holdout,v8_semantic_main,main_only,0.1446013885563802,1.0,0.0050451479889016505
A,main_holdout,v8_semantic_main,main_only,0.1449484041276698,1.0,0.005091255409566535
A,main_holdout,v8_semantic_main,main_only,0.14529708924705317,1.0,0.005130261713753059
A,main_holdout,v8_semantic_main,main_only,0.14564745599228357,1.0,0.005167370135859774
A,main_holdout,v8_semantic_main,main_only,0.1459995165578922,1.0,0.00521011899937229
A,main_holdout,v8_semantic_main,main_only,0.14635328325660285,1.0,0.005242341652874351
A,main_holdout,v8_semantic_main,main_only,0.14670876852076756,1.0,0.005277344353620893
A,main_holdout,v8_semantic_main,main_only,0.14706598490382275,1.0,0.005314921768614168
A,main_holdout,v8_semantic_main,main_only,0.14742494508176715,1.0,0.0053622412406435
A,main_holdout,v8_semantic_main,main_only,0.14778566185466113,1.0,0.00539390696864602
A,main_holdout,v8_semantic_main,main_only,0.14814814814814814,1.0,0.005432188821166112
A,main_holdout,v8_semantic_main,main_only,0.14851241701499876,1.0,0.00546637386185695
A,main_holdout,v8_semantic_main,main_only,0.14887848163667736,1.0,0.005509291312710771
A,main_holdout,v8_semantic_main,main_only,0.14924635532493205,1.0,0.005532954408434399
