protocol_id,dataset,model_version,training_scope,risk_bonus,threshold,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.2,0.8344419807834442,0.8317510548523207,0.7321262766945218,0.7787654320987655,0.823247493138252,0.8323214390709188,0.8171067233687465,0.09791282995702885,2939.0,319.0,577.0,1577.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.25,0.8355506282335551,0.8665893271461717,0.6935933147632312,0.7705002578648789,0.8211844796378814,0.8315236113521082,0.8114989287137211,0.07059545733578883,3028.0,230.0,660.0,1494.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.3,0.8335181079083518,0.8922980588603632,0.6615598885793872,0.7597973873633698,0.8162057769561087,0.8277125881368892,0.8043833819815291,0.05279312461632903,3086.0,172.0,729.0,1425.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.35,0.8276053215077606,0.9105581708137189,0.6285979572887651,0.7437517165613843,0.8069308492315483,0.8198188319491871,0.7938876833712089,0.04082259054634745,3125.0,133.0,800.0,1354.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.4,0.8191056910569106,0.921146953405018,0.596564531104921,0.7241476472245703,0.7947886002445875,0.8091987281333715,0.7814007431460762,0.03376304481276857,3148.0,110.0,869.0,1285.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.45,0.8137472283813747,0.9367378048780488,0.5705663881151346,0.7091748413156376,0.7860905465072343,0.8017806681871167,0.7725453180600228,0.025475751995089013,3175.0,83.0,925.0,1229.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.5,0.8100517368810052,0.9540322580645161,0.5492107706592386,0.6971125515615793,0.7793772717431046,0.7961585450395576,0.7658576873554019,0.017495395948434623,3201.0,57.0,971.0,1183.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.55,0.8017368810051737,0.9663503019844694,0.5199628597957289,0.6761243585873831,0.7666336078651201,0.785096691974991,0.7539961628628736,0.011970534069981584,3219.0,39.0,1034.0,1120.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.6,0.7930524759793053,0.9725776965265083,0.49396471680594245,0.6551724137931034,0.75366857226086,0.7737609150081629,0.7423783068375938,0.009208103130755065,3228.0,30.0,1090.0,1064.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.65,0.7797487065779749,0.9781312127236581,0.4568245125348189,0.6227848101265823,0.7336262255225814,0.7562368911909448,0.7250359517861327,0.006752608962553714,3236.0,22.0,1170.0,984.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.7,0.7649667405764967,0.9772727272727273,0.4192200557103064,0.5867446393762183,0.7112654258073965,0.736666561842138,0.7063871917593889,0.006445672191528545,3237.0,21.0,1251.0,903.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.75,0.753880266075388,0.9801401869158879,0.3895078922934076,0.5574750830564784,0.6935059060022601,0.7212549874013997,0.6921449835929898,0.0052179251074278695,3241.0,17.0,1315.0,839.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.8,0.7370657797487066,0.9828269484808454,0.34540389972144847,0.511164548265201,0.665666944927495,0.697184063537098,0.6707068608490606,0.003990178023327195,3245.0,13.0,1410.0,744.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.85,0.7169253510716925,0.987460815047022,0.2924791086350975,0.4512893982808023,0.6302761732439868,0.666787887870623,0.6450118072334481,0.0024554941682013503,3250.0,8.0,1524.0,630.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.9,0.692719881744272,0.9959595959595959,0.22887650882079852,0.3722159305398263,0.5843954270436135,0.6276781624723239,0.6141313176393741,0.0006138735420503376,3256.0,2.0,1661.0,493.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,0.95,0.6561345158906134,1.0,0.1360259981429898,0.23947691050265632,0.5086605037173662,0.5635715692955331,0.5680129990714949,0.0,3258.0,0.0,1861.0,293.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
B,hf_chinese_conversation_spam_holdout,v8_semantic_main,main_only,0.0,1.0,0.6019955654101996,0.0,0.0,0.0,0.37577854671280275,0.45243403739479354,0.5,0.0,3258.0,0.0,2154.0,0.0,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,-0.2,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,-0.15,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,-0.1,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,-0.05,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.0,0.39800443458980045,0.39800443458980045,1.0,0.5693893735130848,0.2846946867565424,0.226619495666516,0.5,1.0,0.0,3258.0,0.0,2154.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.05,0.6502217294900222,0.5323901712583767,0.9958217270194986,0.6938379427462397,0.6429758556652982,0.6326004410057714,0.7087764252040403,0.578268876611418,1374.0,1884.0,9.0,2145.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.1,0.7392830746489283,0.6052109883885585,0.9921077065923862,0.7518029903254178,0.7386179769685077,0.7359283511839496,0.7821189238916504,0.42786985880908535,1864.0,1394.0,17.0,2137.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.15,0.7860310421286031,0.652760736196319,0.9879294336118849,0.7861100849649058,0.7860310129075916,0.7860148829092038,0.8202385044056969,0.3474524248004911,2126.0,1132.0,26.0,2128.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.2,0.8205838876570584,0.6937438584998362,0.9832869080779945,0.8135202611868638,0.820326091070555,0.8217144200047004,0.8481505135847308,0.28698588090853283,2323.0,935.0,36.0,2118.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.25,0.8462675535846268,0.7285615491009682,0.9781801299907149,0.8351169242964724,0.8455612312725007,0.847691777263176,0.8686173823679787,0.24094536525475752,2473.0,785.0,47.0,2107.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.3,0.86529933481153,0.7576853526220615,0.9726090993500465,0.8517991461679203,0.8641722233803192,0.8666962213926045,0.8834807313815917,0.2056476365868631,2588.0,670.0,59.0,2095.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.35,0.881189948263119,0.784557438794727,0.9670380687093779,0.8662923684757746,0.8796964751772056,0.8824307940608679,0.8957351178414907,0.17556783302639656,2686.0,572.0,71.0,2083.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.4,0.8913525498891353,0.8041958041958042,0.9610027855153204,0.8756345177664975,0.8895889124265558,0.8924354851731753,0.9031533264593177,0.15469613259668508,2754.0,504.0,84.0,2070.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.45,0.9009608277900961,0.8262096774193548,0.9512534818941504,0.8843331894691411,0.8988709566085609,0.9018365321669348,0.9094818667911513,0.13228974831184775,2827.0,431.0,105.0,2049.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.5,0.9066888396156689,0.842258198422582,0.9419684308263695,0.8893271970195047,0.9043345775865772,0.9073959501191062,0.9126662289184027,0.11663597298956414,2878.0,380.0,125.0,2029.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.55,0.9150036954915004,0.863519313304721,0.9340761374187558,0.8974130240856378,0.9124289095191596,0.9154920169690133,0.918235122116376,0.09760589318600368,2940.0,318.0,142.0,2012.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
C,hf_chinese_conversation_spam_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.6,0.9185144124168514,0.8815144766146993,0.9187558031569174,0.899749943168902,0.9155559054365912,0.9187801815532816,0.9185553110321112,0.0816451810926949,2992.0,266.0,175.0,1979.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729
